92;-659084;-709584;-669860;-659976
93;-646842;-737339;-666387;-646842
94;-646842;-718348;-654157;-646842
95;-646842;-713188;-658916;-656307
96;-646765;-701987;-654387;-646765
97;-646765;-711584;-647088;-648198
98;-640328;-714021;-655608;-640328
99;-640328;-680053;-636244;-645168
100;-640328;-702271;-639979;-648432
101;-640328;-670414;-650318;-643270
102;-640328;-677791;-642513;-641645
103;-640328;-654049;-632243;-641645
104;-640328;-659374;-640940;-640854
105;-619822;-683257;-637297;-619822
106;-619822;-708131;-627784;-630413
107;-617667;-661931;-637439;-617667
108;-614362;-671390;-635622;-614362
109;-614317;-677080;-629182;-614317
110;-612819;-669252;-627421;-612819
111;-612819;-672120;-613831;-630154
112;-612819;-710944;-630875;-623449
113;-612819;-690585;-626044;-618258
114;-612092;-671487;-626961;-612092
115;-612092;-682383;-625328;-620472
116;-605209;-662463;-624879;-605209
117;-602867;-644852;-615488;-602867
118;-602867;-656241;-626346;-605857
119;-602867;-713879;-625098;-604424
120;-602273;-649377;-635272;-602273
121;-602273;-663185;-631823;-603002
122;-602273;-660172;-618624;-602942
123;-602007;-665022;-625806;-602007
124;-602007;-633719;-622497;-602702
125;-602007;-642081;-613434;-602977
126;-594719;-634944;-612661;-594719
127;-594719;-677594;-618358;-597233
128;-592739;-639440;-624716;-592739
129;-592739;-639886;-621006;-604528
130;-592739;-659539;-608845;-595557
131;-592739;-619416;-608639;-595557
132;-592739;-665259;-604151;-594007
133;-592739;-657376;-613479;-595810
134;-589569;-716581;-615645;-589569
135;-589569;-652433;-605357;-594635
136;-589569;-653271;-601880;-595971
137;-583821;-677310;-610633;-583821
138;-580076;-671133;-599850;-580076
139;-572501;-639385;-597629;-572501
140;-572501;-638201;-598946;-580076
141;-572501;-641707;-607287;-580076
142;-572501;-661387;-604506;-596096
143;-572501;-640936;-609806;-576525
144;-572501;-639784;-604794;-577970
145;-572501;-605128;-605172;-583520
146;-570621;-633358;-595410;-570621
147;-570621;-635908;-602480;-580147
148;-570621;-684376;-602297;-573894
149;-570621;-623322;-597428;-571798
150;-570621;-617093;-586120;-583785
151;-570621;-636701;-591600;-578501
152;-570621;-648922;-590277;-581328
153;-570621;-643926;-594260;-574753
154;-570621;-629405;-594690;-573401
155;-567223;-624720;-596405;-567223
156;-567223;-642842;-595754;-575783
157;-567223;-673126;-585843;-568997
158;-567223;-651104;-583338;-568634
159;-567223;-590792;-587302;-575151
160;-567223;-593211;-583691;-574029
161;-567223;-614854;-589097;-574817
162;-567223;-604503;-579411;-576239
163;-560548;-651879;-587832;-560548
164;-559488;-641741;-588283;-559488
165;-559488;-615330;-590221;-562896
166;-559488;-633178;-588000;-562896
167;-558281;-627614;-584567;-558281
168;-558281;-611402;-589374;-562039
169;-558281;-638747;-588703;-562039
170;-558281;-608768;-582825;-562896
171;-547299;-643520;-593075;-547299
172;-547299;-597220;-582009;-550996
173;-547299;-555780;-586851;-548359
174;-532566;-597068;-586866;-532566
175;-532566;-590863;-574459;-555204
176;-532566;-664473;-588627;-555204
177;-532566;-609892;-580545;-550964
178;-532566;-651771;-563604;-553021
179;-532566;-593162;-575593;-556007
180;-532566;-607587;-571812;-550560
181;-532566;-590827;-573315;-547505
182;-532566;-601291;-566087;-551992
183;-532566;-597903;-570191;-549458
184;-532566;-627643;-565597;-551839
185;-532566;-608300;-575167;-542220
186;-532566;-630172;-567666;-555621
