Iterations;Overall best;Worst;Average;Best
126;-1.15354e+06;-1.26274e+06;-1.16185e+06;-1.15354e+06
127;-1.15107e+06;-1.25718e+06;-1.15714e+06;-1.15107e+06
128;-1.13972e+06;-1.29581e+06;-1.15492e+06;-1.13972e+06
129;-1.13387e+06;-1.27238e+06;-1.15218e+06;-1.13387e+06
130;-1.12468e+06;-1.31085e+06;-1.13927e+06;-1.12468e+06
131;-1.12397e+06;-1.27263e+06;-1.13622e+06;-1.12397e+06
132;-1.1213e+06;-1.24454e+06;-1.12692e+06;-1.1213e+06
133;-1.11648e+06;-1.27286e+06;-1.12597e+06;-1.11648e+06
134;-1.11181e+06;-1.32781e+06;-1.12292e+06;-1.11181e+06
135;-1.10537e+06;-1.2592e+06;-1.11835e+06;-1.10537e+06
136;-1.09976e+06;-1.25906e+06;-1.11333e+06;-1.09976e+06
137;-1.09571e+06;-1.19183e+06;-1.10464e+06;-1.09571e+06
138;-1.08942e+06;-1.19376e+06;-1.09907e+06;-1.08942e+06
139;-1.08802e+06;-1.1778e+06;-1.09815e+06;-1.08802e+06
140;-1.08748e+06;-1.20222e+06;-1.0916e+06;-1.08748e+06
141;-1.08593e+06;-1.20633e+06;-1.08943e+06;-1.08593e+06
142;-1.08237e+06;-1.20384e+06;-1.09019e+06;-1.08237e+06
143;-1.08127e+06;-1.17446e+06;-1.089e+06;-1.08127e+06
144;-1.07972e+06;-1.1602e+06;-1.08652e+06;-1.07972e+06
145;-1.07808e+06;-1.2655e+06;-1.08565e+06;-1.07808e+06
146;-1.07489e+06;-1.28979e+06;-1.0842e+06;-1.07489e+06
147;-1.07221e+06;-1.17518e+06;-1.08154e+06;-1.07221e+06
148;-1.06964e+06;-1.20982e+06;-1.07911e+06;-1.06964e+06
149;-1.06711e+06;-1.21416e+06;-1.07673e+06;-1.06711e+06
150;-1.06379e+06;-1.17176e+06;-1.07448e+06;-1.06379e+06
151;-1.05807e+06;-1.19054e+06;-1.07204e+06;-1.05807e+06
152;-1.05356e+06;-1.16574e+06;-1.06627e+06;-1.05356e+06
153;-1.05158e+06;-1.17318e+06;-1.06177e+06;-1.05158e+06
154;-1.0445e+06;-1.16072e+06;-1.0562e+06;-1.0445e+06
155;-1.03693e+06;-1.16331e+06;-1.05325e+06;-1.03693e+06
156;-1.0358e+06;-1.22856e+06;-1.04593e+06;-1.0358e+06
157;-1.03047e+06;-1.16635e+06;-1.03918e+06;-1.03047e+06
158;-1.02771e+06;-1.12454e+06;-1.03587e+06;-1.02771e+06
159;-1.02422e+06;-1.18517e+06;-1.032e+06;-1.02422e+06
160;-1.0223e+06;-1.14785e+06;-1.02852e+06;-1.0223e+06
161;-1.02065e+06;-1.12677e+06;-1.02672e+06;-1.02065e+06
162;-1.01778e+06;-1.10889e+06;-1.02528e+06;-1.01778e+06
163;-1.01611e+06;-1.13335e+06;-1.02237e+06;-1.01611e+06
164;-1.01376e+06;-1.08803e+06;-1.02102e+06;-1.01376e+06
165;-1.01018e+06;-1.10108e+06;-1.02022e+06;-1.01018e+06
166;-1.00603e+06;-1.12208e+06;-1.01741e+06;-1.00603e+06
167;-1.00264e+06;-1.21515e+06;-1.01394e+06;-1.00264e+06
168;-999243;-1.12372e+06;-1.01111e+06;-999243
169;-995580;-1.19113e+06;-1.00911e+06;-995580
170;-991922;-1.1824e+06;-1.00597e+06;-991922
171;-985360;-1.18566e+06;-1.00031e+06;-985360
172;-980886;-1.1159e+06;-994998;-980886
173;-978722;-1.08208e+06;-987927;-978722
174;-977962;-1.1545e+06;-983509;-977962
175;-976422;-1.16466e+06;-980254;-976422
176;-971796;-1.1169e+06;-980455;-971796
177;-967974;-1.12308e+06;-978986;-967974
178;-964893;-1.039e+06;-974479;-964893
179;-961015;-1.08876e+06;-969747;-961015
180;-959100;-1.05694e+06;-969278;-959100
181;-957760;-1.03844e+06;-964427;-957760
182;-955137;-1.04391e+06;-964465;-955137
183;-951726;-1.09683e+06;-964136;-951726
184;-947468;-1.14605e+06;-961348;-947468
185;-941730;-1.06685e+06;-955797;-941730
186;-936427;-1.02807e+06;-950387;-936427
187;-932565;-1.00987e+06;-942223;-932565
188;-930517;-1.05102e+06;-938887;-930517
189;-924539;-1.03805e+06;-933618;-924539
190;-921150;-1.01141e+06;-932154;-921150
191;-921017;-1.01984e+06;-926203;-921017
192;-916437;-1.02452e+06;-923408;-916437
193;-916387;-1.00357e+06;-924053;-916387
194;-914810;-1.06374e+06;-919672;-914810
195;-914033;-1.06156e+06;-919745;-914033
196;-911292;-1.0657e+06;-918885;-911292
197;-910192;-996370;-919397;-910192
198;-908535;-1.01138e+06;-914168;-908535
199;-905964;-1.05193e+06;-913292;-905964
200;-905295;-1.02e+06;-911959;-905295
201;-903195;-1.04402e+06;-908988;-903195
202;-901856;-1.0038e+06;-908976;-901856
203;-899910;-1.02079e+06;-906733;-899910
204;-896935;-1.0504e+06;-908846;-896935
205;-893738;-1.01441e+06;-905976;-893738
206;-887753;-990561;-904033;-887753
207;-886587;-991218;-894913;-886587
208;-884685;-976838;-893083;-884685
209;-881433;-1.02809e+06;-891270;-881433
210;-880857;-943888;-887463;-880857
211;-877861;-979882;-885044;-877861
212;-874765;-985968;-883880;-874765
213;-874323;-995462;-880789;-874323
214;-871751;-998567;-879614;-871751
215;-870434;-994759;-878402;-870434
216;-868216;-951408;-874922;-868216
217;-866031;-1.00102e+06;-874630;-866031
218;-864057;-969364;-871398;-864057
219;-861354;-987704;-868700;-861354
220;-855404;-1.02381e+06;-867280;-855404
221;-854053;-967549;-866050;-854053
222;-851641;-1.0058e+06;-857907;-851641
223;-849024;-1.0181e+06;-857027;-849024
224;-846977;-971953;-854294;-846977
225;-845150;-954866;-853444;-845150
226;-843906;-985444;-852462;-843906
227;-842730;-1.01824e+06;-850266;-842730
228;-840025;-972746;-848246;-840025
229;-837343;-1.00076e+06;-847005;-837343
230;-835812;-970283;-845907;-835812
231;-834827;-936895;-840271;-834827
232;-834059;-976903;-839370;-834059
233;-831389;-956060;-837592;-831389
234;-830386;-969753;-837288;-830386
235;-830386;-949518;-834375;-830386
236;-830280;-953164;-832788;-830280
237;-828580;-940768;-832631;-828580
238;-828011;-938215;-833997;-828011
239;-826199;-920977;-830950;-826199
240;-825204;-940984;-830245;-825204
241;-823173;-962415;-828985;-823173
242;-821707;-967563;-828163;-821707
243;-820605;-917422;-826024;-820605
244;-817117;-920849;-824188;-817117
245;-815801;-890385;-822544;-815801
246;-814409;-908707;-819192;-814409
247;-812295;-896833;-818211;-812295
248;-812245;-899116;-817484;-812245
249;-811456;-920156;-815005;-811456
250;-810669;-887999;-815508;-810669
251;-806137;-894369;-814506;-806137
252;-804526;-899533;-813406;-804526
253;-803056;-976924;-809543;-803056
254;-800527;-921389;-807943;-800527
255;-799058;-959809;-806247;-799058
256;-796730;-946516;-803181;-796730
257;-795613;-929781;-802376;-795613
258;-793046;-923886;-800072;-793046
259;-792363;-896992;-797385;-792363
260;-791650;-895410;-795194;-791650
261;-781912;-900742;-795027;-781912
262;-760017;-876554;-793215;-760017
263;-759147;-967737;-773584;-759147
264;-758711;-888757;-761924;-758711
265;-758691;-884290;-761612;-758691
266;-758256;-907063;-761439;-758256
